k,c,h0,i0,kh (feedback current gain (air gap)),kv (feedback current gain (velocity)),V_kmh,,a_z_max (Maximum vertical acceleration)
44433181.11,9386.91391,0.010462644,21.51608587,4545.573965,49.35416909,465.1625678,,0.335220803
30288965.3,11067.05952,0.011839324,25.8311541,8915.773283,47.39380676,464.143854,,0.442687845
59872995.67,14592.33255,0.008019173,27.99708398,5035.164422,36.29295502,376.6240956,,0.216622122
36186687.27,9440.478003,0.009896056,24.04335305,8130.184757,47.15982943,241.3209673,,0.059578549
49045448.45,13499.36936,0.010323505,27.05544088,5969.145881,65.24435873,443.0874774,,0.291373772
33857467.42,5928.419811,0.010370964,21.2258744,8437.045291,42.25842194,257.7122469,,0.075558767
50961377.47,17935.6263,0.010727454,28.71653074,8052.395521,78.3157605,365.1701144,,0.172751969
39142903.64,17764.98083,0.009924839,20.23002559,4868.104678,39.01195765,298.8376561,,0.110780025
43999424.53,12734.01985,0.011187088,22.60281373,8301.527291,31.92723958,274.5500049,,0.0935162
31698030.02,5129.78606,0.011139705,29.11600513,5792.009515,60.5628956,427.1130394,,0.301465135
55752257.44,14652.65099,0.008579856,22.27579831,8617.228312,27.49484557,253.7617558,,0.070702016
38748914.87,10038.75622,0.009917233,22.61793744,7524.242632,45.4048885,499.929469,,0.541060342
46548328.72,16085.37416,0.010222575,21.05382415,6397.532048,41.79870006,359.5927638,,0.183062081
34244413.39,7376.834361,0.008505706,22.72444513,6286.207909,79.00760435,336.8612759,,0.128775296
54456319.37,5742.95882,0.008842086,26.55128259,6011.725964,51.60842244,486.8998149,,0.402197847
41433632.25,6646.813267,0.008346777,20.86351973,6236.038389,40.34001706,236.201082,,0.05648557
45635975.41,5246.155203,0.010480853,25.27565017,8719.703785,65.97361826,295.0581668,,0.095639153
31187976.65,13862.07243,0.011672705,24.7754089,8790.749578,51.05887195,365.4895616,,0.199956457
57591416.88,9682.404206,0.011333213,23.5412246,4698.18906,78.0918869,397.6861928,,0.164859893
36585958.03,11320.2956,0.01060097,20.06535584,5366.134402,42.37345382,283.7370047,,0.09021679
50323787.96,18086.28971,0.0105713,22.00079068,6445.669746,25.57627555,202.6149518,,0.04611666
33378955.92,6192.352859,0.00891941,29.21298171,6092.045392,44.33021031,260.3932348,,0.082635968
51647247.6,6777.256482,0.011766199,25.18814792,4871.034738,46.90865523,490.8318431,,0.42284877
40393857.84,13046.13242,0.008411297,24.23044902,7222.225794,56.31805255,354.2140694,,0.165699959
42563308.36,18277.72269,0.008248747,25.55728649,7573.573639,74.35682573,204.1171205,,0.042489204
32292135.14,5174.685555,0.011289423,26.59072427,5963.087049,23.7557487,413.778172,,0.377384422
57314566.04,8353.395307,0.01030143,23.91393252,6970.686635,72.34522894,340.0338565,,0.134675657
37828482.89,18662.96519,0.008969271,26.96203554,7356.763585,27.47095425,447.2863937,,0.444505304
47347909.67,6397.712715,0.010580462,22.17157171,7113.448996,46.80137655,234.3651534,,0.057201298
35359390.07,14218.92374,0.010687174,28.85017978,4865.271649,35.94141459,313.7804793,,0.145459942
53187032.24,16786.88199,0.009502217,25.53156881,6105.198265,38.9882379,400.0406581,,0.27287309
